,COUNTYFIPS,Obesity among adults aged >=18 years,Stroke among adults aged >=18 years,Arthritis among adults aged >=18 years,Mammography use among women aged 50-74 years,Depression among adults aged >=18 years,Vision disability among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Visits to dentist or dental clinic among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Current smoking among adults aged >=18 years,Mobility disability among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Self-care disability among adults aged >=18 years,Cholesterol screening among adults aged >=18 years,Any disability among adults aged >=18 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",All teeth lost among adults aged >=65 years,No leisure-time physical activity among adults aged >=18 years,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Sleeping less than 7 hours among adults aged >=18 years,Independent living disability among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,Cancer (excluding skin cancer) among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,High blood pressure among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Binge drinking among adults aged >=18 years,Fair or poor self-rated health status among adults aged >=18 years,Current asthma among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Cognitive disability among adults ages >=18 years,Hearing disability among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Physical health not good for >=14 days among adults aged >=18 years,Coronary heart disease among adults aged >=18 years
0,1003,38.158064516129045,3.329032258064516,31.293548387096774,77.82903225806452,22.567741935483873,4.62258064516129,7.996774193548387,64.97419354838709,37.93225806451613,15.764516129032257,16.21935483870968,80.80967741935484,3.7548387096774194,87.08064516129033,31.748387096774195,72.07741935483871,12.587096774193547,29.870967741935484,40.07096774193548,34.49354838709678,7.912903225806451,9.458064516129031,7.670967741935484,3.1870967741935488,37.83870967741935,16.56451612903226,84.98064516129031,16.025806451612905,17.41290322580645,9.929032258064517,74.89032258064515,13.387096774193548,7.061290322580646,12.103225806451615,54.50645161290322,12.422580645161291,6.9225806451612915
1,1017,44.58888888888889,4.555555555555555,34.03333333333333,77.27777777777777,22.433333333333334,7.333333333333333,9.8,56.56666666666666,38.87777777777778,20.700000000000003,22.044444444444444,82.58888888888889,5.955555555555555,86.1222222222222,38.65555555555555,72.4111111111111,20.03333333333333,37.34444444444444,34.84444444444445,42.266666666666666,11.433333333333332,12.822222222222223,7.277777777777778,3.9555555555555557,45.85555555555556,18.644444444444446,83.26666666666667,12.511111111111113,24.644444444444442,11.122222222222224,79.25555555555555,16.988888888888894,7.48888888888889,16.255555555555556,37.922222222222224,15.444444444444445,8.033333333333335
2,1029,36.7,3.75,32.75,74.875,25.475,5.875,10.0,58.9,39.175,21.225,19.3,80.5,4.875,84.80000000000001,36.474999999999994,71.425,18.650000000000002,34.0,37.375,36.400000000000006,10.2,12.375,7.425000000000001,3.375,39.75,19.075,82.025,14.625,21.775,10.55,75.425,16.925,7.975,12.950000000000001,40.725,14.874999999999998,7.675000000000001
3,1039,40.50714285714286,4.185714285714285,34.18571428571429,74.02142857142857,23.735714285714284,6.578571428571428,10.342857142857142,56.70714285714286,38.48571428571428,21.678571428571427,20.800000000000004,82.04285714285713,5.3500000000000005,85.2642857142857,37.48571428571429,70.32142857142858,19.171428571428574,33.92857142857143,29.82857142857143,36.614285714285714,10.892857142857144,12.307142857142855,7.907142857142857,3.72857142857143,41.36428571428571,18.835714285714285,82.02857142857142,13.39285714285714,23.085714285714282,10.807142857142853,77.37142857142858,16.942857142857143,8.364285714285716,14.35,41.47857142857142,15.257142857142858,8.357142857142856
4,1057,37.48,4.2,35.0,76.2,24.339999999999996,6.68,10.76,56.2,40.5,21.939999999999998,21.26,81.62,5.5600000000000005,84.8,38.14,71.26,19.44,35.980000000000004,40.080000000000005,39.879999999999995,11.0,12.48,7.8,3.7199999999999998,43.32,19.18,81.88,13.86,23.28,10.74,76.7,17.360000000000003,8.6,14.34,42.56,15.6,8.48
5,1069,41.054545454545455,4.1499999999999995,29.809090909090912,75.14545454545454,24.927272727272733,7.395454545454545,9.522727272727273,55.54545454545455,36.32272727272727,21.627272727272725,19.990909090909096,80.14090909090908,5.877272727272728,83.98636363636363,37.4,72.64999999999999,20.554545454545455,36.87272727272727,34.18181818181819,40.059090909090905,11.581818181818184,13.477272727272727,6.918181818181819,3.604545454545455,42.82272727272727,19.28181818181818,82.88181818181819,13.518181818181814,23.44545454545455,10.981818181818182,76.62272727272727,17.690909090909095,7.254545454545454,14.304545454545455,42.195454545454545,14.727272727272727,7.500000000000001
6,1073,40.934969325153375,3.9276073619631906,30.006748466257672,83.24969325153374,22.017791411042943,6.957668711656441,7.3558282208588945,60.176687116564416,35.1276073619632,18.280368098159506,18.295705521472392,80.1079754601227,5.455828220858895,85.21717791411042,32.757668711656436,76.75337423312882,17.85276073619632,32.84539877300613,38.30736196319019,38.526993865030676,10.285276073619631,12.013496932515336,6.33803680981595,3.4791411042944786,42.176687116564416,18.506748466257672,85.79815950920245,13.898159509202458,22.01779141104295,10.912269938650306,77.51042944785277,15.761963190184048,5.860122699386503,14.878527607361962,42.885276073619636,13.363803680981595,6.564417177914111
7,1077,38.96818181818182,3.6727272727272724,31.20909090909091,77.59545454545456,24.827272727272724,6.218181818181819,8.872727272727273,56.6090909090909,38.731818181818184,19.50909090909091,18.38636363636364,79.48636363636363,4.895454545454545,83.84090909090908,35.650000000000006,70.00454545454545,18.268181818181816,34.045454545454554,36.127272727272725,40.404545454545456,10.409090909090908,11.722727272727274,7.1000000000000005,3.35,40.02727272727273,19.25,81.75454545454544,14.631818181818181,21.063636363636363,10.727272727272727,76.08636363636364,16.9,7.340909090909091,13.122727272727273,39.63636363636364,13.954545454545455,7.222727272727273
8,1079,42.56666666666667,3.966666666666667,32.1,76.43333333333334,24.12222222222222,6.433333333333334,9.9,58.74444444444445,38.166666666666664,22.644444444444442,19.98888888888889,80.17777777777776,5.266666666666667,84.56666666666666,36.82222222222222,71.35555555555555,19.066666666666663,35.24444444444445,36.36666666666666,38.76666666666667,10.733333333333334,12.822222222222223,7.0,3.466666666666667,41.64444444444444,19.422222222222224,81.83333333333333,14.344444444444443,22.977777777777778,11.066666666666666,75.75555555555555,17.455555555555556,7.555555555555555,13.822222222222225,39.0,15.155555555555557,7.51111111111111
9,1083,38.28125,3.31875,30.40625,75.0125,23.45625,5.375,8.21875,60.53125,37.15625,19.1875,16.918750000000003,79.10624999999999,4.2875,84.95625,33.15625,70.09375,16.83125,32.475,37.1375,39.25,9.06875,12.068750000000001,6.637499999999999,3.0625,37.618750000000006,18.30625,83.1125,14.79375,19.837500000000002,10.29375,74.72500000000001,15.431249999999999,6.6375,12.0125,47.84375,13.1125,6.49375
